ParticipantPrivateID,randomiser_475f,ResponseButtonOrder,Sources,Trials_perBlock_,Blocks,MinimumSamples,MaximumSamples,RT,Stimulus,Response,NoOfStimuli,CorrectResponse,TrialType,TrialIndex,Accuracy,Block,TrialNumber,Sample_Reliability,Sample_Color,Sample_NumColor,SliderResponse,SliderResp_50to100,PosteriorBlue
12730915,Button0Blue,0,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.60, ""Source4"": 0.65, ""Source5"": 0.70, ""Source6"": 0.75}",40,6,6,6,12958.3000000119,red,1,6,1,js-scroll-button-response,3,1,1,1,75           75           60           55           55           55,redredredredredred,1  1  1  1  1  1,90,95,0.0389891696750902
12730915,Button0Blue,0,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.60, ""Source4"": 0.65, ""Source5"": 0.70, ""Source6"": 0.75}",40,6,6,6,7699.59999999404,blue,0,6,0,js-scroll-button-response,6,1,1,2,75           55           50           75           75           65,blueredredredblueblue,0  1  1  1  0  0,71,85.5,0.820093457943925
12730915,Button0Blue,0,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.60, ""Source4"": 0.65, ""Source5"": 0.70, ""Source6"": 0.75}",40,6,6,6,18320.3000000119,red,0,6,1,js-scroll-button-response,9,0,1,3,50  60  70  75  50  70,redredblueredblueblue,1  1  0  1  0  0,76,88,0.547486033519553
12730915,Button0Blue,0,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.60, ""Source4"": 0.65, ""Source5"": 0.70, ""Source6"": 0.75}",40,6,6,6,11273.900000006,red,0,6,1,js-scroll-button-response,12,0,1,4,70           60           55           60           75           55,blueblueblueblueredblue,0  0  0  0  1  0,90,95,0.72331340734415
12730915,Button0Blue,0,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.60, ""Source4"": 0.65, ""Source5"": 0.70, ""Source6"": 0.75}",40,6,6,6,17880.5,red,0,6,1,js-scroll-button-response,15,0,1,5,60           65           60           55           55           55,blueredblueblueredblue,0  1  0  0  1  0,76,88,0.596899224806202
12730915,Button0Blue,0,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.60, ""Source4"": 0.65, ""Source5"": 0.70, ""Source6"": 0.75}",40,6,6,6,6682.29999998212,blue,0,6,0,js-scroll-button-response,18,1,1,6,65           50           55           65           75           50,redblueblueblueblueblue,1  0  0  0  0  0,72,86,0.785714285714286
12730915,Button0Blue,0,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.60, ""Source4"": 0.65, ""Source5"": 0.70, ""Source6"": 0.75}",40,6,6,6,7295.39999997616,blue,0,6,0,js-scroll-button-response,21,1,1,7,50           75           65           65           55           75,blueblueblueredredblue,0  0  0  1  1  0,88,94,0.880434782608696
12730915,Button0Blue,0,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.60, ""Source4"": 0.65, ""Source5"": 0.70, ""Source6"": 0.75}",40,6,6,6,68803.2999999821,red,1,6,1,js-scroll-button-response,24,1,1,8,65           50           55           50           55           50,redredredblueredred,1  1  1  0  1  1,80,90,0.264953271028037
12730915,Button0Blue,0,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.60, ""Source4"": 0.65, ""Source5"": 0.70, ""Source6"": 0.75}",40,6,6,6,53372.3000000119,red,1,6,1,js-scroll-button-response,27,1,1,9,55           65           60           70           50           70,blueredblueredbluered,0  1  0  1  0  1,83,91.5,0.153488372093023
12730915,Button0Blue,0,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.60, ""Source4"": 0.65, ""Source5"": 0.70, ""Source6"": 0.75}",40,6,6,6,108642.400000006,blue,1,6,0,js-scroll-button-response,30,0,1,10,65           75           55           70           55           50,redredredbluebluered,1  1  1  0  0  1,82,91,0.295180722891566
