"","ParticipantPrivateID","randomiser_475f","ResponseButtonOrder","Sources","Trials_perBlock_","Blocks","MinimumSamples","MaximumSamples","RT","Stimulus","Response","NoOfStimuli","CorrectResponse","TrialType","TrialIndex","Accuracy","Block","TrialNumber","proba_1","proba_2","proba_3","proba_4","proba_5","proba_6","Sample_Color","Sample_NumColor","color_1","color_2","color_3","color_4","color_5","color_6"
"1",3829348,"Button0Red",1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",50,6,6,6,13852.2699999157,"red",0,6,0,"js-scroll-button-response",3,1,1,1,65,65,50,55,55,65,"redredblueredredblue","0  0  1  0  0  1","red","red","blue","red","red","blue"
"2",3829348,"Button0Red",1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",50,6,6,6,9400.95499996096,"blue",0,6,1,"js-scroll-button-response",5,0,1,2,55,65,65,55,50,55,"blueblueredredredred","1  1  0  0  0  0","blue","blue","red","red","red","red"
"3",3829348,"Button0Red",1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",50,6,6,6,10690.8650000114,"blue",1,6,1,"js-scroll-button-response",7,1,1,3,55,65,55,55,65,50,"blueredbluebluebluered","1  0  1  1  1  0","blue","red","blue","blue","blue","red"
"4",3829348,"Button0Red",1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",50,6,6,6,8840.49999993294,"red",1,6,0,"js-scroll-button-response",9,0,1,4,50,65,65,65,55,65,"blueblueblueredredred","1  1  1  0  0  0","blue","blue","blue","red","red","red"
"5",3829348,"Button0Red",1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",50,6,6,6,8356.10500001349,"blue",1,6,1,"js-scroll-button-response",11,1,1,5,65,65,55,65,65,55,"blueblueredblueblueblue","1  1  0  1  1  1","blue","blue","red","blue","blue","blue"
"6",3829348,"Button0Red",1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",50,6,6,6,10320.2949999832,"red",0,6,0,"js-scroll-button-response",13,1,1,6,55,55,55,65,65,55,"redblueredredbluered","0  1  0  0  1  0","red","blue","red","red","blue","red"
"7",3829348,"Button0Red",1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",50,6,6,6,7070.58999990113,"blue",1,6,1,"js-scroll-button-response",15,1,1,7,65,55,50,55,55,50,"bluebluebluebluebluered","1  1  1  1  1  0","blue","blue","blue","blue","blue","red"
"8",3829348,"Button0Red",1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",50,6,6,6,30777.8899997938,"red",0,6,0,"js-scroll-button-response",17,1,1,8,65,65,65,55,55,55,"redredredredbluered","0  0  0  0  1  0","red","red","red","red","blue","red"
"9",3829348,"Button0Red",1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",50,6,6,6,6563.89499991201,"blue",1,6,1,"js-scroll-button-response",19,1,1,9,55,65,50,65,65,55,"blueredblueblueblueblue","1  0  1  1  1  1","blue","red","blue","blue","blue","blue"
"10",3829348,"Button0Red",1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",50,6,6,6,21904.9450000748,"red",0,6,0,"js-scroll-button-response",21,1,1,10,65,65,50,55,65,65,"redredredredbluered","0  0  0  0  1  0","red","red","red","red","blue","red"
"11",3829348,"Button0Red",1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",50,6,6,6,5516.2100000307,"red",0,6,0,"js-scroll-button-response",23,1,1,11,55,65,65,65,50,50,"blueredredblueredred","1  0  0  1  0  0","blue","red","red","blue","red","red"
"12",3829348,"Button0Red",1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",50,6,6,6,6851.58999986015,"blue",1,6,1,"js-scroll-button-response",25,1,1,12,50,55,55,50,55,50,"blueblueblueblueredred","1  1  1  1  0  0","blue","blue","blue","blue","red","red"
"13",3829348,"Button0Red",1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",50,6,6,6,5646.7399999965,"blue",0,6,1,"js-scroll-button-response",27,0,1,13,65,50,55,55,65,65,"redblueredredredblue","0  1  0  0  0  1","red","blue","red","red","red","blue"
"14",3829348,"Button0Red",1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",50,6,6,6,5552.13500000536,"red",1,6,0,"js-scroll-button-response",29,0,1,14,55,65,65,55,65,50,"redredblueblueblueblue","0  0  1  1  1  1","red","red","blue","blue","blue","blue"
